cno4,occupation_title,occupation_title_english
0011,Oficiales de las fuerzas armadas,Armed forces officers
0012,Suboficiales de las fuerzas armadas,Non-commissioned officers of the armed forces
0020,Tropa y marinería de las fuerzas armadas,Troops and sailors of the armed forces
1111,"Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo","Members of the executive branch (national, regional and local) and the legislative branch"
1112,Personal directivo de la administración pública,Management personnel of the public administration
1113,Directores de organizaciones de interés social,Directors of social interest organizations
1120,Directores generales y presidentes ejecutivos,CEOs and CEOs
1211,Directores financieros,CFOs
1212,Directores de recursos humanos,Human resources directors
1219,Directores de políticas y planificación y de otros departamentos administrativos no clasificados bajo otros epígrafes,Directors of policy and planning and other administrative departments not classified elsewhere
1221,Directores comerciales y de ventas,Commercial and sales directors
1222,Directores de publicidad y relaciones públicas,Advertising and public relations directors
1223,Directores de investigación y desarrollo,Research and development directors
1311,Directores de producción de explotaciones agropecuarias y forestales,Production directors of agricultural and forestry farms
1312,Directores de producción de explotaciones pesqueras y acuícolas,Production directors of fishing and aquaculture farms
1313,Directores de industrias manufactureras,Manufacturing industry directors
1314,Directores de explotaciones mineras,Directors of mining operations
1315,"Directores de empresas de abastecimiento, transporte, distribución y afines","Directors of supply, transportation, distribution and related companies"
1316,Directores de empresas de construcción,Construction company directors
1321,Directores de servicios de tecnologías de la información y las comunicaciones (tic),Directors of information and communications technology (ICT) services
1322,Directores de servicios sociales para niños,Directors of children's social services
1323,Directores-gerentes de centros sanitarios,Directors-managers of health centers
1324,Directores de servicios sociales para personas mayores,Senior Social Services Directors
1325,Directores de otros servicios sociales,Directors of other social services
1326,Directores de servicios de educación,Directors of education services
1327,"Directores de sucursales de bancos, de servicios financieros y de seguros","Branch directors of banks, financial services and insurance"
1329,Directores de otras empresas de servicios profesionales no clasificados bajo otros epígrafes,Directors of other professional services companies not classified under other headings
1411,Directores y gerentes de hoteles,Hotel directors and managers
1419,Directores y gerentes de otras empresas de servicios de alojamiento,Directors and managers of other hosting services companies
1421,Directores y gerentes de restaurantes,Restaurant directors and managers
1422,"Directores y gerentes de bares, cafeterías y similares","Directors and managers of bars, cafes and similar"
1429,Directores y gerentes de empresas de catering y otras empresas de restauración,Directors and managers of catering companies and other restaurant companies
1431,Directores y gerentes de empresas de comercio al por mayor,Directors and managers of wholesale trade companies
1432,Directores y gerentes de empresas de comercio al por menor,Directors and managers of retail companies
1501,"Directores y gerentes de empresas de actividades recreativas, culturales y deportivas","Directors and managers of recreational, cultural and sports activities companies"
