Ocupación CNO-11;Sexo;Unidad;Periodo;Total
Total;Ambos sexos;Valor absoluto;2026T1;22.293
Total;Ambos sexos;Valor absoluto;2025T4;22.463,3
Total;Ambos sexos;Valor absoluto;2025T3;22.387,1
Total;Ambos sexos;Valor absoluto;2025T2;22.268,7
Total;Ambos sexos;Valor absoluto;2025T1;21.765,4
Total;Ambos sexos;Valor absoluto;2024T4;21.857,9
Total;Ambos sexos;Valor absoluto;2024T3;21.823
Total;Ambos sexos;Valor absoluto;2024T2;21.684,7
Total;Ambos sexos;Valor absoluto;2024T1;21.250
Total;Ambos sexos;Valor absoluto;2023T4;21.389,7
Total;Ambos sexos;Valor absoluto;2023T3;21.446,5
Total;Ambos sexos;Valor absoluto;2023T2;21.258,4
Total;Ambos sexos;Valor absoluto;2023T1;20.634,2
Total;Ambos sexos;Valor absoluto;2022T4;20.640,7
Total;Ambos sexos;Valor absoluto;2022T3;20.745,4
Total;Ambos sexos;Valor absoluto;2022T2;20.607,2
Total;Ambos sexos;Valor absoluto;2022T1;20.196,7
Total;Ambos sexos;Valor absoluto;2021T4;20.274,8
Total;Ambos sexos;Valor absoluto;2021T3;20.103,3
Total;Ambos sexos;Valor absoluto;2021T2;19.716,1
Total;Ambos sexos;Valor absoluto;2021T1;19.239,6
Total;Ambos sexos;Valor absoluto;2020T4;19.344,3
Total;Ambos sexos;Valor absoluto;2020T3;19.176,9
Total;Ambos sexos;Valor absoluto;2020T2;18.607,2
Total;Ambos sexos;Valor absoluto;2020T1;19.681,3
Total;Ambos sexos;Valor absoluto;2019T4;19.966,9
Total;Ambos sexos;Valor absoluto;2019T3;19.874,3
Total;Ambos sexos;Valor absoluto;2019T2;19.804,9
Total;Ambos sexos;Valor absoluto;2019T1;19.471,1
Total;Ambos sexos;Valor absoluto;2018T4;19.564,6
Total;Ambos sexos;Valor absoluto;2018T3;19.528
Total;Ambos sexos;Valor absoluto;2018T2;19.344,1
Total;Ambos sexos;Valor absoluto;2018T1;18.874,2
Total;Ambos sexos;Valor absoluto;2017T4;18.998,4
Total;Ambos sexos;Valor absoluto;2017T3;19.049,2
Total;Ambos sexos;Valor absoluto;2017T2;18.813,3
Total;Ambos sexos;Valor absoluto;2017T1;18.438,3
Total;Ambos sexos;Valor absoluto;2016T4;18.508,1
Total;Ambos sexos;Valor absoluto;2016T3;18.527,5
Total;Ambos sexos;Valor absoluto;2016T2;18.301
Total;Ambos sexos;Valor absoluto;2016T1;18.029,6
Total;Ambos sexos;Valor absoluto;2015T4;18.094,2
Total;Ambos sexos;Valor absoluto;2015T3;18.048,7
Total;Ambos sexos;Valor absoluto;2015T2;17.866,5
Total;Ambos sexos;Valor absoluto;2015T1;17.454,8
Total;Ambos sexos;Valor absoluto;2014T4;17.569,1
Total;Ambos sexos;Valor absoluto;2014T3;17.504
Total;Ambos sexos;Valor absoluto;2014T2;17.353
Total;Ambos sexos;Valor absoluto;2014T1;16.950,6
Total;Ambos sexos;Valor absoluto;2013T4;17.135,2
Total;Ambos sexos;Valor absoluto;2013T3;17.230
Total;Ambos sexos;Valor absoluto;2013T2;17.160,6
Total;Ambos sexos;Valor absoluto;2013T1;17.030,2
Total;Ambos sexos;Valor absoluto;2012T4;17.339,4
Total;Ambos sexos;Valor absoluto;2012T3;17.667,7
Total;Ambos sexos;Valor absoluto;2012T2;17.758,5
Total;Ambos sexos;Valor absoluto;2012T1;17.765,1
Total;Ambos sexos;Valor absoluto;2011T4;18.153
Total;Ambos sexos;Valor absoluto;2011T3;18.484,5
Total;Ambos sexos;Valor absoluto;2011T2;18.622
Total;Ambos sexos;Valor absoluto;2011T1;18.426,2
Total;Ambos sexos;Porcentaje;2026T1;100
Total;Ambos sexos;Porcentaje;2025T4;100
Total;Ambos sexos;Porcentaje;2025T3;100
Total;Ambos sexos;Porcentaje;2025T2;100
Total;Ambos sexos;Porcentaje;2025T1;100
Total;Ambos sexos;Porcentaje;2024T4;100
Total;Ambos sexos;Porcentaje;2024T3;100
Total;Ambos sexos;Porcentaje;2024T2;100
Total;Ambos sexos;Porcentaje;2024T1;100
Total;Ambos sexos;Porcentaje;2023T4;100
Total;Ambos sexos;Porcentaje;2023T3;100
Total;Ambos sexos;Porcentaje;2023T2;100
Total;Ambos sexos;Porcentaje;2023T1;100
