cno4,exposure_nearest,exposure_weighted,observed_exposure_jev_nearest,observed_exposure_jev_weighted,observed_exposure_jev_direct,bls_ai_category_code,frs_lm_percentile
0011,0.0,0.0,0.1378,0.0722523386868687,0.0977777777777777,2.0,0.48761261261261263
0012,0.0,0.0,0.0,0.0385761555555555,0.0544444444444444,2.0,0.48761261261261263
0020,0.0,0.0,0.0571,0.052237448080808,0.02,1.0,0.09121621621621621
1111,0.0,0.0,0.0,0.0217435555555555,0.1866666666666666,,
1112,0.0,0.0,0.0333,0.0604216,0.2244444444444444,2.0,
1113,0.1808,0.1808,0.0333,0.08201912,0.2088888888888889,4.0,0.8355855855855856
1120,0.0333,0.0845610099877072,0.0333,0.0333,0.1944444444444444,4.0,0.8975225225225225
1211,0.3907,0.3907,0.3907,0.34822256,0.33,4.0,0.8885135135135135
1212,0.0,0.1890672207414919,0.0,0.0677355151515151,0.2655555555555555,3.0,0.9256756756756757
1219,0.0333,0.0,0.1378,0.0997953527272727,0.3,4.0,0.8975225225225225
1221,0.0433,0.0433,0.0433,0.14123835,0.29,3.0,0.8851351351351351
1222,0.2315,0.2315,0.2315,0.2811700590909091,0.2911111111111111,4.0,
1223,0.3777,0.0613,0.0613,0.0500075997979798,0.2444444444444444,4.0,0.918918918918919
1311,0.0,0.0,0.0,0.0,0.17,2.0,0.5
1312,0.0,0.0,0.0,0.0018046363636363,0.1433333333333333,1.0,0.4222972972972973
1313,0.0132,0.0132,0.0132,0.0157665026262626,0.2255555555555556,3.0,0.6317567567567568
1314,0.0132,0.0132,0.0132,0.0330089757575757,0.1666666666666666,3.0,0.6317567567567568
1315,0.0956,0.0956,0.0956,0.08748486,0.2777777777777778,4.0,0.7488738738738738
1316,0.1186,0.0306,0.1186,0.0982284945454545,0.1811111111111111,3.0,0.7015765765765766
1321,0.1559,0.1559,0.1559,0.22521587,0.3155555555555556,4.0,0.7635135135135135
1322,0.0395,0.0395,0.0074,0.0308415804040404,0.1855555555555555,3.0,0.7713963963963963
1323,0.0659,0.0659,0.0659,0.066651594040404,0.2311111111111111,3.0,0.9031531531531531
1324,0.1808,0.1808,0.1808,0.11076788,0.2,4.0,0.8355855855855856
1325,0.1808,0.1808,0.153,0.1014287599999999,0.2366666666666666,4.0,0.8355855855855856
1326,0.0525,0.0882638731973482,0.0525,0.154795,0.2333333333333333,3.0,0.8243243243243243
1327,0.3907,0.3907,0.3907,0.33141017,0.2533333333333333,4.0,0.8885135135135135
1329,0.0333,0.0333,0.1378,0.10067026,0.2022222222222222,4.0,0.8975225225225225
1411,0.1215,0.1215,0.1215,0.12219128,0.2166666666666666,3.0,0.6531531531531531
1419,0.1215,0.1215,0.1215,0.12055223,0.1966666666666666,3.0,0.6531531531531531
1421,0.0,0.0,0.0,0.0112761599999999,0.2311111111111111,2.0,0.5653153153153153
1422,0.0,0.0,0.0,0.020103,0.1855555555555555,2.0,0.5653153153153153
1429,0.0,0.0,0.0,0.0112749199999999,0.2166666666666666,2.0,0.5653153153153153
1431,0.1378,0.1378,0.1378,0.1627969245454545,0.2555555555555555,3.0,0.7105855855855856
1432,0.2627,0.2627,0.1378,0.138248335782063,0.23,3.0,0.5934684684684685
1501,0.0443,0.0246403193818852,0.092,0.0947714322222222,0.2111111111111111,3.0,
1509,0.1378,0.0686,0.1378,0.1127691285858585,0.1866666666666666,3.0,0.7105855855855856
2111,0.0,0.0185351002908756,0.0,0.00030504,0.1788888888888889,3.0,
2112,0.0,0.0589713892378808,0.0297,0.030168,0.1566666666666666,3.0,
2121,0.0,0.0522788422847072,0.0595,0.05833023,0.1144444444444444,1.0,
2122,0.0944,0.0944,0.0595,0.0615939999999999,0.1511111111111111,3.0,0.6058558558558559
2123,0.052,0.052,0.052,0.052,0.0822222222222222,3.0,0.6081081081081081
2130,0.0926,0.0925999999999999,0.0926,0.09075824,0.1077777777777777,3.0,0.5337837837837838
2140,0.0896,0.0533863125788285,0.0896,0.0896133737373737,0.2122222222222222,3.0,0.6846846846846847
2151,0.0,0.0063902651523838,0.0309,0.0309,0.0966666666666666,2.0,0.5585585585585585
2152,0.0174,0.0093589330301025,0.0174,0.0174,0.0866666666666666,3.0,0.536036036036036
2153,0.1328,0.1328,0.1328,0.12490148,0.1733333333333333,4.0,0.9301801801801802
2154,0.0,0.0,0.0,0.0,0.0988888888888888,3.0,0.9211711711711712
2155,0.0,0.0,0.0,0.0006612424242424,0.0977777777777777,1.0,0.5900900900900901
2156,0.008,0.0114362663401322,0.008,0.0083880743434343,0.0955555555555555,3.0,0.5990990990990991
2157,0.0,0.0,0.0,0.0005402,0.0522222222222222,2.0,0.668918918918919
2158,0.0,0.0434506458117188,0.0548,0.04603964,0.2299999999999999,3.0,
2159,0.0,0.0,0.0222,0.02189792,0.1911111111111111,2.0,0.6441441441441441
2210,0.0644,0.1095265520685803,0.2142,0.2001582422222222,0.2988888888888889,3.0,0.9864864864864865
2220,0.0,0.0812162188514298,0.0,0.03126,0.1955555555555555,3.0,0.6463963963963963
2230,0.2901,0.1268611722633385,0.2901,0.2901,0.2577777777777778,3.0,0.8468468468468469
2240,0.103,0.103,0.103,0.103,0.1755555555555555,3.0,0.7792792792792793
2251,0.0,0.0,0.0,0.0,0.0888888888888888,2.0,0.6126126126126126
2252,0.0395,0.0395,0.0,0.00115606,0.0733333333333333,3.0,0.7713963963963963
2311,0.0989,0.0625355033743253,0.0257,0.0532464646464646,0.1844444444444444,3.0,
2312,0.0989,0.0989,0.0257,0.0499574848484848,0.1211111111111111,3.0,
2321,0.3043,0.3043,0.3043,0.29858252,0.2766666666666666,4.0,0.9087837837837838
2322,0.0636,0.2164136729833703,0.0636,0.075928,0.2477777777777777,4.0,0.9481981981981982
2323,0.2142,0.2142,0.0662,0.07912741,0.1144444444444444,4.0,0.7759009009009009
2324,0.2142,0.2142,0.0662,0.09691324,0.14,4.0,0.7759009009009009
2325,0.3043,0.3043,0.3043,0.2107182222222222,0.3855555555555556,4.0,0.9087837837837838
2326,0.1444,0.0232,0.0232,0.1109081709090909,0.1811111111111111,3.0,
2329,0.2621,0.204008989102234,0.4077,0.39444354,0.2666666666666666,4.0,0.990990990990991
2411,0.3849,0.3302709592992149,0.2727,0.273822,0.1766666666666666,4.0,0.793918918918919
2412,0.038,0.038,0.038,0.038,0.2033333333333333,4.0,0.8648648648648649
2413,0.2614,0.1549329008506393,0.2614,0.2614,0.1877777777777777,4.0,0.6148648648648649
2414,0.043,0.1141027268693386,0.043,0.0421779599999999,0.1644444444444444,3.0,0.6824324324324325
