measure_a,measure_b,spearman_rho,occupations
exposure_nearest,exposure_nearest,1.0,502
exposure_weighted,exposure_nearest,0.8796907173373983,502
exposure_weighted,exposure_weighted,1.0,502
observed_exposure_jev_nearest,exposure_nearest,0.7565705841335776,502
observed_exposure_jev_nearest,exposure_weighted,0.761737514527579,502
observed_exposure_jev_nearest,observed_exposure_jev_nearest,1.0,502
observed_exposure_jev_weighted,exposure_nearest,0.7802681887337815,502
observed_exposure_jev_weighted,exposure_weighted,0.8056801903505713,502
observed_exposure_jev_weighted,observed_exposure_jev_nearest,0.8957126135008651,502
observed_exposure_jev_weighted,observed_exposure_jev_weighted,1.0,502
observed_exposure_jev_direct,exposure_nearest,0.5822721438317109,502
observed_exposure_jev_direct,exposure_weighted,0.6439121306127799,502
observed_exposure_jev_direct,observed_exposure_jev_nearest,0.6457566194321592,502
observed_exposure_jev_direct,observed_exposure_jev_weighted,0.7097710645466876,502
observed_exposure_jev_direct,observed_exposure_jev_direct,1.0,502
bls_ai_category_code,exposure_nearest,,0
bls_ai_category_code,exposure_weighted,,0
bls_ai_category_code,observed_exposure_jev_nearest,,0
bls_ai_category_code,observed_exposure_jev_weighted,,0
bls_ai_category_code,observed_exposure_jev_direct,,0
bls_ai_category_code,bls_ai_category_code,,0
frs_lm_percentile,exposure_nearest,0.6659943944026272,444
frs_lm_percentile,exposure_weighted,0.7019451172566539,444
frs_lm_percentile,observed_exposure_jev_nearest,0.6278845196876899,444
frs_lm_percentile,observed_exposure_jev_weighted,0.7107573109973474,444
frs_lm_percentile,observed_exposure_jev_direct,0.7853614352665488,444
frs_lm_percentile,bls_ai_category_code,,0
frs_lm_percentile,frs_lm_percentile,1.0,444
