panel,measure,specification,outcome,adjustment_estimate,adjustment_se,later_estimate,later_se,pretrend_joint_null_p,phase_equality_p,observations
Panel A. Baseline specification,Anthropic nearest-neighbor exposure,benchmark_twfe,ln_parados,0.019254705628622,0.0048716101,0.0376019660021657,0.0097127445,2.2957389e-08,0.001275714,31122
Panel A. Baseline specification,Anthropic nearest-neighbor exposure,preferred_cno1_month,ln_parados,0.012061944129354,0.0058768885,0.0168132599278554,0.011641335,0.0026627015,0.48611888,31122
Panel A. Baseline specification,Anthropic nearest-neighbor exposure,preferred_cno1_month_no2021,ln_parados,0.0115801458628703,0.0058686575,0.0163314449248662,0.011912478,0.36655796,0.48612207,25600
Panel A. Baseline specification,Anthropic nearest-neighbor exposure,benchmark_twfe,ln_contratos,0.0325925204998102,0.0084444042,0.0287519458728334,0.010273824,1.5504909e-08,0.4880015,30787
Panel A. Baseline specification,Anthropic nearest-neighbor exposure,preferred_cno1_month,ln_contratos,0.0144644656032463,0.0089187641,0.0129039305565127,0.011233483,0.031847086,0.80655581,30786
Panel A. Baseline specification,Anthropic nearest-neighbor exposure,preferred_cno1_month_no2021,ln_contratos,0.0043823909311104,0.0068664518,0.0028229017299318,0.01025728,0.049342357,0.80620104,25317
Panel B. Jev: highest-probability O*NET occupation,Jev highest-probability category,jev_nearest_benchmark,ln_parados,0.0223203475572044,0.0045630471,0.0458730654865585,0.0092759468,2.1239853e-08,1.1817626e-05,31122
Panel B. Jev: highest-probability O*NET occupation,Jev highest-probability category,jev_nearest_cno1_month,ln_parados,0.017581523834837,0.0054995017,0.0302024175465867,0.011197001,0.00077438512,0.055709537,31122
Panel B. Jev: highest-probability O*NET occupation,Jev highest-probability category,jev_nearest_cno1_month_no2021,ln_parados,0.0166027523900952,0.0054661618,0.0292236298296427,0.011500418,0.42882556,0.055710774,25600
Panel B. Jev: highest-probability O*NET occupation,Jev highest-probability category,jev_nearest_benchmark,ln_contratos,0.019711227672148,0.0081800604,0.0148390926835624,0.010088869,4.2676096e-08,0.37035388,30787
Panel B. Jev: highest-probability O*NET occupation,Jev highest-probability category,jev_nearest_cno1_month,ln_contratos,0.003268204332579,0.0083290162,0.0023848459499291,0.010797308,0.0018221057,0.88761872,30786
Panel B. Jev: highest-probability O*NET occupation,Jev highest-probability category,jev_nearest_cno1_month_no2021,ln_contratos,-0.0012838900118922,0.006883102,-0.0021466544964488,0.010343075,0.0048006889,0.88990545,25317
Panel C. Jev: probability-weighted O*NET occupations,Jev probability-weighted exposure,jev_weighted_benchmark,ln_parados,0.0265279558943967,0.004639687,0.0544256667907569,0.0095887743,1.3089618e-09,8.3655198e-07,31122
Panel C. Jev: probability-weighted O*NET occupations,Jev probability-weighted exposure,jev_weighted_cno1_month,ln_parados,0.0215348422335751,0.0056087677,0.0370283797259586,0.011213209,0.00016934802,0.01908681,31122
Panel C. Jev: probability-weighted O*NET occupations,Jev probability-weighted exposure,jev_weighted_cno1_month_no2021,ln_parados,0.0202082926057637,0.0056266719,0.0357018123603596,0.011625337,0.20003581,0.019087398,25600
Panel C. Jev: probability-weighted O*NET occupations,Jev probability-weighted exposure,jev_weighted_benchmark,ln_contratos,0.0213956462415895,0.0091542508,0.0150412105989723,0.012050244,4.3319801e-10,0.2951057,30787
Panel C. Jev: probability-weighted O*NET occupations,Jev probability-weighted exposure,jev_weighted_cno1_month,ln_contratos,0.0002745212221396,0.0083100097,-0.0025187027267804,0.011470619,0.0020933119,0.68331248,30786
Panel C. Jev: probability-weighted O*NET occupations,Jev probability-weighted exposure,jev_weighted_cno1_month_no2021,ln_contratos,-0.0086772177631342,0.0069767809,-0.0114116477342446,0.010953754,0.0028210813,0.6886037,25317
Panel D. Jev: directly imputed observed exposure,Jev direct observed-exposure score,jev_direct_benchmark,ln_parados,0.0364298206864769,0.0050378824,0.0825924722167351,0.010349675,6.0274861e-20,1.6429905e-13,31122
Panel D. Jev: directly imputed observed exposure,Jev direct observed-exposure score,jev_direct_cno1_month,ln_parados,0.0403340177991909,0.0080082519,0.0818718086272251,0.014072116,0.00014803383,2.1409137e-07,31122
Panel D. Jev: directly imputed observed exposure,Jev direct observed-exposure score,jev_direct_cno1_month_no2021,ln_parados,0.0374924621920959,0.007617692,0.0790299499510024,0.014228232,0.21477915,2.1417834e-07,25600
Panel D. Jev: directly imputed observed exposure,Jev direct observed-exposure score,jev_direct_benchmark,ln_contratos,0.0360344824460932,0.011420028,0.0334457680006994,0.013321167,2.7458278e-16,0.63610703,30787
Panel D. Jev: directly imputed observed exposure,Jev direct observed-exposure score,jev_direct_cno1_month,ln_contratos,-0.0085122604946053,0.015167977,-0.0054929942156641,0.018234812,0.0049014129,0.73728329,30786
Panel D. Jev: directly imputed observed exposure,Jev direct observed-exposure score,jev_direct_cno1_month_no2021,ln_contratos,-0.0136951773713765,0.010833632,-0.010751336751493,0.01578995,0.098358035,0.74288577,25317
