node_external_id,Job group,Spain (%),United States (%),Difference (p.p.)
11,Management,5.91,5.85,0.0600000000000005
13,Business and Financial Operations,6.19,6.27,-0.07999999999999918
15,Computer and Mathematical,23.92,21.13,2.7900000000000027
17,Architecture and Engineering,3.67,2.91,0.7599999999999998
19,"Life, Physical, and Social Science",3.99,4.23,-0.2400000000000002
21,Community and Social Service,2.07,3.2,-1.1300000000000003
23,Legal,1.22,1.04,0.17999999999999994
25,Educational Instruction and Library,13.83,11.92,1.9100000000000001
27,"Arts, Design, Entertainment, Sports, and Media",12.75,12.91,-0.16000000000000014
29,Healthcare Practitioners and Technical,3.36,4.33,-0.9700000000000002
31,Healthcare Support,0.62,0.68,-0.06000000000000005
33,Protective Service,0.34,0.41,-0.06999999999999995
35,Food Preparation and Serving Related,0.56,0.64,-0.07999999999999996
37,Building and Grounds Cleaning and Maintenance,0.1,0.17,-0.07
39,Personal Care and Service,1.17,1.27,-0.10000000000000009
41,Sales and Related,9.14,11.6,-2.459999999999999
43,Office and Administrative Support,8.01,7.64,0.3700000000000001
45,"Farming, Fishing, and Forestry",0.03,0.05,-0.020000000000000004
47,Construction and Extraction,0.08,0.14,-0.06000000000000001
49,"Installation, Maintenance, and Repair",0.61,0.81,-0.20000000000000007
51,Production,1.01,1.08,-0.07000000000000006
53,Transportation and Material Moving,0.33,0.39,-0.06
