cno4,pdf_title_line,pdf_page,sepe_title,in_pdf,in_sepe
0011,Oficiales de las fuerzas armadas,351,Oficiales de las fuerzas armadas,True,True
0012,Suboficiales de las fuerzas armadas,351,Suboficiales de las fuerzas armadas,True,True
0020,Tropa y marinería de las fuerzas armadas,352,Tropa y marinería de las fuerzas armadas,True,True
1111,"Miembros del poder ejecutivo (nacional, autonómico y local) y del poder",3,"Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo",True,True
1112,Personal directivo de la Administración Pública,4,Personal directivo de la administración pública,True,True
1113,Directores de organizaciones de interés social,5,Directores de organizaciones de interés social,True,True
1120,Directores generales y presidentes ejecutivos,6,Directores generales y presidentes ejecutivos,True,True
1211,Directores financieros,7,Directores financieros,True,True
1212,Directores de recursos humanos,7,Directores de recursos humanos,True,True
1219,Directores de políticas y planificación y de otros departamentos administrat i-,8,Directores de políticas y planificación y de otros departamentos administrativos no clasificados bajo otros epígrafes,True,True
1221,Directores comerciales y de ventas,9,Directores comerciales y de ventas,True,True
1222,Directores de publicidad y relaciones públicas,10,Directores de publicidad y relaciones públicas,True,True
1223,Directores de investigación y desarrollo,10,Directores de investigación y desarrollo,True,True
1311,Directores de producción de explotaciones agropecuarias y forestales,11,Directores de producción de explotaciones agropecuarias y forestales,True,True
1312,Directores de producción de explotaciones pesqueras y acuícolas,12,Directores de producción de explotaciones pesqueras y acuícolas,True,True
1313,Directores de industrias manufactureras,13,Directores de industrias manufactureras,True,True
1314,Directores de explotaciones mineras,14,Directores de explotaciones mineras,True,True
1315,"Directores de empresas de abastecimiento, transporte, distribución y afines",14,"Directores de empresas de abastecimiento, transporte, distribución y afines",True,True
1316,Directores de empresas de construcción,15,Directores de empresas de construcción,True,True
1321,Directores de servicios de tecnologías de la información y las comuni caciones,16,Directores de servicios de tecnologías de la información y las comunicaciones (tic),True,True
1322,Directores de servicios sociales para niños,17,Directores de servicios sociales para niños,True,True
1323,Directores-gerentes de centros sanitarios,18,Directores-gerentes de centros sanitarios,True,True
1324,Directores de servicios sociales para personas mayores,18,Directores de servicios sociales para personas mayores,True,True
1325,Directores de otros servicios sociales,19,Directores de otros servicios sociales,True,True
1326,Directores de servicios de educación,20,Directores de servicios de educación,True,True
1327,"Directores de sucursales de bancos, de servicios financieros y de seguros",20,"Directores de sucursales de bancos, de servicios financieros y de seguros",True,True
1329,Directores de otras empresas de servicios profesionales no clasif icados bajo,21,Directores de otras empresas de servicios profesionales no clasificados bajo otros epígrafes,True,True
1411,Directores y gerentes de hoteles,22,Directores y gerentes de hoteles,True,True
1419,Directores y gerentes de otras empresas de servicios de alojamiento,23,Directores y gerentes de otras empresas de servicios de alojamiento,True,True
1421,Directores y gerentes de restaurantes,24,Directores y gerentes de restaurantes,True,True
1422,"Directores y gerentes de bares, cafeterías y similares",25,"Directores y gerentes de bares, cafeterías y similares",True,True
1429,Directores y gerentes de empresas de catering y otras empresas de restaur a-,25,Directores y gerentes de empresas de catering y otras empresas de restauración,True,True
1431,Directores y gerentes de empresas de comercio al por mayor,26,Directores y gerentes de empresas de comercio al por mayor,True,True
1432,Directores y gerentes de empresas de comercio al por menor,27,Directores y gerentes de empresas de comercio al por menor,True,True
1501,"Directores y gerentes de empresas de actividades recreativas, cultur ales y",28,"Directores y gerentes de empresas de actividades recreativas, culturales y deportivas",True,True
1509,Directores y gerentes de empresas de gestión de residuos y de otras empresas,29,Directores y gerentes de empresas de gestión de residuos y de otras empresas de servicios no clasificados bajo otros epígrafes,True,True
2111,Médicos de familia,30,Médicos de familia,True,True
2112,Otros médicos especialistas,31,Otros médicos especialistas,True,True
2121,Enfermeros no especializados,32,Enfermeros no especializados,True,True
2122,Enfermeros especializados (excepto matronos),33,Enfermeros especializados (excepto matronos),True,True
2123,Matronos,34,Matronos,True,True
2130,Veterinarios,35,Veterinarios,True,True
2140,Farmacéuticos,36,Farmacéuticos,True,True
2151,Odontólogos y estomatólogos,37,Odontólogos y estomatólogos,True,True
2152,Fisioterapeutas,38,Fisioterapeutas,True,True
2153,Dietistas y nutricionistas,38,Dietistas y nutricionistas,True,True
2154,Logopedas,39,Logopedas,True,True
2155,Ópticos-optometristas,40,Ópticos-optometristas,True,True
2156,Terapeutas ocupacionales,40,Terapeutas ocupacionales,True,True
2157,Podólogos,41,Podólogos,True,True
2158,Profesionales de la salud y la higiene laboral y ambiental,41,Profesionales de la salud y la higiene laboral y ambiental,True,True
2159,Profesionales de la salud no clasificados bajo otros epígrafes,42,Profesionales de la salud no clasificados bajo otros epígrafes,True,True
2210,Profesores de universidades y otra enseñanza superior (excepto formación,43,Profesores de universidades y otra enseñanza superior (excepto formación profesional),True,True
2220,Profesores de formación profesional (materias específicas),44,Profesores de formación profesional (materias específicas),True,True
2230,Profesores de enseñanza secundaria (excepto materias específicas de form a-,45,Profesores de enseñanza secundaria (excepto materias específicas de formación profesional),True,True
2240,Profesores de enseñanza primaria,46,Profesores de enseñanza primaria,True,True
2251,Maestros de educación infantil,46,Maestros de educación infantil,True,True
2252,Técnicos en educación infantil,47,Técnicos en educación infantil,True,True
2311,Profesores de educación especial,48,Profesores de educación especial,True,True
2312,Técnicos educadores de educación especial,49,Técnicos educadores de educación especial,True,True
2321,Especialistas en métodos didácticos y pedagógicos,49,Especialistas en métodos didácticos y pedagógicos,True,True
2322,Profesores de enseñanza no reglada de idiomas,50,Profesores de enseñanza no reglada de idiomas,True,True
2323,Profesores de enseñanza no reglada de música y danza,51,Profesores de enseñanza no reglada de música y danza,True,True
2324,Profesores de enseñanza no reglada de artes,52,Profesores de enseñanza no reglada de artes,True,True
2325,Instructores en tecnologías de la información en enseñanza no reglada,53,Instructores en tecnologías de la información en enseñanza no reglada,True,True
2326,Profesionales de la educación ambiental,53,Profesionales de la educación ambiental,True,True
2329,Profesores y profesionales de la enseñanza no clasificados bajo otros epígra-,54,Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes,True,True
2411,Físicos y astrónomos,55,Físicos y astrónomos,True,True
2412,Meteorólogos,56,Meteorólogos,True,True
2413,Químicos,57,Químicos,True,True
2414,Geólogos y geofísicos,58,Geólogos y geofísicos,True,True
2415,Matemáticos y actuarios,59,Matemáticos y actuarios,True,True
2416,Estadísticos,59,Estadísticos,True,True
2421,"Biólogos, botánicos, zoólogos y afines",60,"Biólogos, botánicos, zoólogos y afines",True,True
2422,Ingenieros agrónomos,61,Ingenieros agrónomos,True,True
2423,Ingenieros de montes,62,Ingenieros de montes,True,True
2424,Ingenieros técnicos agrícolas,63,Ingenieros técnicos agrícolas,True,True
2425,Ingenieros técnicos forestales y del medio natural,63,Ingenieros técnicos forestales y del medio natural,True,True
2426,Profesionales de la protección ambiental,64,Profesionales de la protección ambiental,True,True
2427,Enólogos,65,Enólogos,True,True
2431,Ingenieros industriales y de producción,65,Ingenieros industriales y de producción,True,True
2432,Ingenieros en construcción y obra civil,66,Ingenieros en construcción y obra civil,True,True
2433,Ingenieros mecánicos,67,Ingenieros mecánicos,True,True
2434,Ingenieros aeronáuticos,68,Ingenieros aeronáuticos,True,True
2435,Ingenieros químicos,68,Ingenieros químicos,True,True
