quarter,date,sepe_registered_unemployed_persons,sepe_registered_unemployed_millions,epa_unemployed_persons,epa_unemployed_thousands,epa_unemployed_millions,sepe_minus_epa_millions,sepe_to_epa_ratio
2021T1,2021-03-31,3974260.6666666665,3.9742606666666664,3703300.0,3703.3,3.7033,0.2709606666666664,1.0731673552417214
2021T2,2021-06-30,3768739.0,3.768739,3586400.0,3586.4,3.5864,0.18233900000000025,1.0508417912112424
2021T3,2021-09-30,3336071.6666666665,3.3360716666666663,3467400.0,3467.4,3.4674,-0.1313283333333337,0.9621248389763704
2021T4,2021-12-31,3181886.6666666665,3.1818866666666663,3148700.0,3148.7,3.1487,0.033186666666666476,1.010539799493971
2022T1,2022-03-31,3114508.3333333335,3.1145083333333337,3214700.0,3214.7,3.2147,-0.10019166666666646,0.9688332763036468
2022T2,2022-06-30,2942025.3333333335,2.9420253333333335,2994700.0,2994.7,2.9947,-0.052674666666666425,0.9824107033537027
2022T3,2022-09-30,2916657.0,2.916657,3025800.0,3025.8,3.0258,-0.10914299999999999,0.9639292088042831
2022T4,2022-12-31,2877975.0,2.877975,3081600.0,3081.6,3.0816,-0.20362499999999972,0.9339223130841121
2023T1,2023-03-31,2893890.6666666665,2.8938906666666666,3186300.0,3186.3,3.1863,-0.2924093333333335,0.9082291895510989
2023T2,2023-06-30,2738774.0,2.738774,2808200.0,2808.2,2.8082,-0.06942599999999999,0.975277401894452
2023T3,2023-09-30,2701014.0,2.701014,2894500.0,2894.5,2.8945,-0.19348600000000005,0.9331539125928485
2023T4,2023-12-31,2733897.0,2.733897,2860800.0,2860.8,2.8608,-0.126903,0.9556407298657719
2024T1,2024-03-31,2751757.0,2.751757,2977900.0,2977.9,2.9779,-0.22614299999999998,0.9240595721817388
2024T2,2024-06-30,2611805.6666666665,2.6118056666666667,2755300.0,2755.3,2.7553,-0.1434943333333334,0.947920613605294
2024T3,2024-09-30,2565881.0,2.565881,2754100.0,2754.1,2.7541,-0.18821900000000014,0.9316586180603464
2024T4,2024-12-31,2582930.0,2.58293,2595500.0,2595.5,2.5955,-0.012569999999999748,0.9951570025043345
2025T1,2025-03-31,2591010.0,2.59101,2789200.0,2789.2,2.7892,-0.1981900000000003,0.9289437831636311
2025T2,2025-06-30,2457854.6666666665,2.4578546666666665,2553100.0,2553.1,2.5531,-0.09524533333333363,0.9626942409880798
2025T3,2025-09-30,2417594.0,2.417594,2613200.0,2613.2,2.6132,-0.19560600000000017,0.925146946272769
2025T4,2025-12-31,2425799.0,2.425799,2477100.0,2477.1,2.4771,-0.05130100000000004,0.979289895442251
2026T1,2026-03-31,2433806.6666666665,2.4338066666666665,2708600.0,2708.6,2.7086,-0.27479333333333367,0.8985478352900637
