cno4,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
0011,0.44,0.34,0.14,0.06,0.02,0.0,0.0,0.0,0.0,0.0
0012,0.62,0.29,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0020,0.84,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1111,0.32,0.27,0.15,0.12,0.05,0.03,0.03,0.02,0.01,0.0
1112,0.27,0.24,0.16,0.13,0.07,0.04,0.05,0.03,0.01,0.0
1113,0.25,0.27,0.19,0.13,0.06,0.04,0.03,0.02,0.01,0.0
1120,0.31,0.27,0.15,0.11,0.06,0.03,0.04,0.02,0.01,0.0
1211,0.14,0.14,0.16,0.19,0.13,0.09,0.09,0.05,0.01,0.0
1212,0.16,0.22,0.2,0.17,0.11,0.06,0.05,0.02,0.01,0.0
1219,0.13,0.17,0.19999999999999998,0.2,0.12,0.08,0.06,0.03,0.01,0.0
1221,0.14,0.18,0.21000000000000002,0.19,0.11,0.07,0.06,0.03,0.01,0.0
1222,0.13,0.17,0.22,0.2,0.12,0.07,0.06,0.02,0.01,0.0
1223,0.19,0.22999999999999998,0.21,0.16,0.09,0.05,0.04,0.02,0.01,0.0
1311,0.22,0.33,0.25,0.13,0.05,0.01,0.01,0.0,0.0,0.0
1312,0.29,0.34,0.22,0.1,0.04,0.01,0.0,0.0,0.0,0.0
1313,0.16,0.26,0.24,0.18,0.09,0.04,0.02,0.01,0.0,0.0
1314,0.28,0.31,0.2,0.12,0.05,0.02,0.01,0.01,0.0,0.0
1315,0.15,0.18,0.22,0.19,0.11,0.07,0.05,0.02,0.01,0.0
1316,0.21,0.31,0.25,0.14,0.06,0.02,0.01,0.0,0.0,0.0
1321,0.11,0.17,0.19,0.2,0.13,0.08,0.08,0.03,0.01,0.0
1322,0.22,0.3,0.24,0.14,0.06,0.02,0.01,0.01,0.0,0.0
1323,0.19,0.26,0.21,0.15,0.08,0.05,0.04,0.02,0.0,0.0
1324,0.22,0.27,0.23,0.15,0.07,0.03,0.02,0.01,0.0,0.0
1325,0.2,0.22,0.22,0.16,0.09,0.05,0.04,0.02,0.0,0.0
1326,0.15,0.22,0.28,0.19,0.09,0.04,0.02,0.01,0.0,0.0
1327,0.17,0.21,0.22,0.17,0.11,0.06,0.04,0.02,0.0,0.0
1329,0.23,0.29,0.21,0.13,0.06,0.03,0.03,0.01,0.01,0.0
1411,0.17,0.26,0.26,0.17,0.08,0.03,0.02,0.01,0.0,0.0
1419,0.2,0.27,0.25,0.17,0.07,0.03,0.01,0.0,0.0,0.0
