CNO4,occupation_title,cno_structured_text_es
0011,Oficiales de las fuerzas armadas,"CNO occupation: 0011 Oficiales de las fuerzas armadas. Definition: Los oficiales de las fuerzas armadas proporcionan liderazgo y gestión a las uni dades de organización en las fuerzas armadas y/o realizan tareas sim ilares a aquellas que cumplen una variedad de ocupaciones civiles fuera de las fuerzas armadas. Este gru- po incluye a todos los miembros de las fuerzas arm adas con el rango de alférez (o equivalente) o superior. Examples included: Capitanes generales; Almirantes; Generales del aire; Tenientes generales; Generales de brigada; Coroneles; Comandantes; Capitanes; Tenientes; Alféreces; Capitanes de navío; Alféreces de fragata Related or excluded occupations: Oficiales de la guardia civil, 2623; Inspectores de aduanas, 2623; Generales de la Guardia Civil, 2623"
0012,Suboficiales de las fuerzas armadas,"CNO occupation: 0012 Suboficiales de las fuerzas armadas. Definition: Los suboficiales de las fuerzas armadas hacen cumplir la disciplina militar y s upervi- san las actividades de los empleados en ocupaciones de las fuerzas arm adas, otros rangos, y/o realizan tareas similares a aquellas que cumplen una v ariedad de ocupa- ciones civiles fuera de las fuerzas armadas. Este grupo incluye a miem bros de las fuerzas armadas de rangos tales como sargento, suboficial y sargento mayor. Examples included: Brigadas; Sargentos Related or excluded occupations: Suboficiales de la Guardia Civil, 3632; 352"
0020,Tropa y marinería de las fuerzas armadas,"CNO occupation: 0020 Tropa y marinería de las fuerzas armadas. Definition: La tropa y marinería de las fuerzas armadas incluye todos los miembros conscriptos y no conscriptos de las fuerzas armadas excepto oficiales y suboficiales. Realizan ta- reas militares específicas y/o rea lizan tareas similares a aquellas que cumplen una variedad de ocupaciones civiles fuera de las fuerzas armadas. Examples included: Cabos; Soldados Related or excluded occupations: Agentes de la Guardia Civil, 5910; Policías nacionales, 5921; Policías autonómicos, 5922; Policías municipales, 5923; 353; 354"
1111,"Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo","CNO occupation: 1111 Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo. Definition: Los miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo definen, formulan y orientan la política del gobierno nacional, regional, provincial o municipal, así como de los organismos gubernamentales interna cionales, y elaboran, ratifican, modifican o derogan leyes y reglamentos. Se i ncluyen en ellos miembros electos y no electos de parlamentos, concejos y gobiernos. Typical tasks: presidir los trabajos de los cuerpos legislativos y de los concejos delibe rantes del gobierno y de las asambleas legislativas de la nación, región, provincia o munici- pio, y participar en dichos trabajos; definir, formular y orientar la política del gobierno nacional, regional, provincial o municipal; elaborar, ratificar, modificar o derogar leyes y reglamentos dentro de un marco legislativo o constitucional; integrar concejos deliberantes de la Administración Pública o comisiones oficiales; examinar cuestiones de interés para el público y defender los intereses del electo- rado al que representan; asistir a actos y reuniones para prestar servicios a la comunidad, captar la opinión pública y facilitar información sobre los planes de la Administración Pública; negociar con otros miembros del poder legislativo y representantes de gr upos de interés social para conciliar intereses opuestos y establecer políticas y acuerdos; dirigir, en su calidad de miembros del gobierno, a los administradores y a los fun- cionarios de los departamentos ministeriales y de los órganos que de ellos depen- den en cuanto a la interpretación y aplicación de la política del gobierno. Examples included: Presidentes del Gobierno; Ministros del gobierno; Diputados al Parlamento; Secretarios de Estado; Senadores; Miembros de los órganos de gobierno de las CC.AA.; Miembros de las asambleas legislativas de las CC.AA.; 4; Concejales; Alcaldes; Presidentes de Diputación provincial, Diputación Foral del País Vasco, Cabi ldo; insular o Consejo insular; Diputados de Diputación provincial, Diputación Foral del País Vasco, Cabildo insu-; lar o Consejo insular; Miembros del Consejo General del Poder Judicial"
1112,Personal directivo de la Administración Pública,"CNO occupation: 1112 Personal directivo de la Administración Pública. Definition: El personal directivo de la Administración Pública asesora a ésta en los asuntos políti- cos, vigila la interpretación y aplicación de la política pública y de la legisl ación por los órganos públicos; actúa en nombre y representación del país en el extranjero o desempeña tareas similares en organizaciones intergubernament ales. Planifica, orga- niza, orienta, controla y evalúa las actividades generales de los departamentos, órga- nos, agencias o comisiones del gobierno nacional o de los gobiernos de la región o de la provincia o colectividad local, de conformidad con la legislación y las políticas del gobierno o de los órganos legislativos. Nota: Los empleados o funcionarios de las Administraciones Públicas que gestionan una empresa pública o un organismo análogo donde los empleados pú blicos desem- peñan tareas semejantes a las ejercidas por los dirigentes de las empresas descritas en el grupo primario 1120, Directores generales y presiden tes ejecutivos, se clasifica- rán en dicho grupo. Se considerará una empresa pública a cualquier empresa en la que los poderes públi- cos puedan ejercer, directa o indirectamente una influencia dominan te en razón de la propiedad, de la. Typical tasks: asesorar en los asuntos políticos a la administración pública y al órgano legislativo nacional, regional, provincial o municipal; asesorar en la preparación de los presupuestos públicos, así como de las l eyes y reglamentos, incluidas sus enmiendas; establecer objetivos para los órganos públicos de conformidad con la legisl ación y la política de la administración pública; elaborar o aprobar y evaluar programas y procedimientos para la aplicación de las políticas públicas junto con la propia administración pública o en consulta con ella; recomendar, examinar, evaluar y aprobar documentos, notas e informes presen- tados por otros directivos de la administración pública de nivel medio o superior; velar por la elaboración y aplicación de sistemas y procedimientos adecu ados pa- ra la realización del control presupuestario; coordinar las actividades con los demás directivos y funcionarios de la admini stra- 5 ción pública; presentar a comisiones legislativas o de la administración pública políticas, pro- gramas o presupuestos; controlar la interpretación y aplicación de la política pública y de la legisl ación por los órganos públicos. Examples included: Embajadores; Cónsules generales; Subsecretarios de Estado; Directores de la función pública"
1113,Directores de organizaciones de interés social,"CNO occupation: 1113 Directores de organizaciones de interés social. Definition: Los directores de organizaciones de interés social definen, formulan y orientan la polí- tica de estas organizaciones, tales como partidos políticos, sindicatos, org anizaciones de empleadores, asociaciones industriales, organizaciones humanit arias o de benefi- cencia y asociaciones deportivas, representan a las organizaci ones y actúan en su nombre. Typical tasks: definir y formular la política, los estatutos y reglamentos de la organización; planificar, dirigir y coordinar el funcionamiento general de la organización; examinar las operaciones y resultados de la organización e informar al consejo de dirección y a los órganos directivos, a los miembros de la organiz ación y a las en- tidades que aporten financiación; realizar negociaciones en nombre de la organización, de sus miembros y de los grupos relevantes de interés social; defender los intereses de la organización y de sus miembros ante los órga nos le- gislativos, la administración pública o el público en general; planificar, organizar y orientar las actividades de los órganos encargados de apli- car las políticas, estatutos y reglamentos de la organización; velar por la elaboración y aplicación de sistemas y procedimientos adecu ados pa- ra la realización del control presupuestario; supervisar y evaluar el funcionamiento de la organización o empresa a tenor de los objetivos y políticas establecidos; representar a la organización en actos oficiales y reuniones de órganos directivos, en negociaciones y en convenciones, audiencias públicas y foros. Examples included: Dirigentes, partido político; Dirigentes, organización empresarial; Dirigentes, sindicato de trabajadores; Dirigentes, organización humanitaria; Dirigentes, fundación; 6"
1120,Directores generales y presidentes ejecutivos,"CNO occupation: 1120 Directores generales y presidentes ejecutivos. Definition: Los directores generales y presidentes ejecutivos elaboran y examinan las polít icas y planifican, orientan, coordinan y evalúan las actividades generales de las em presas u organizaciones (excepto las organizaciones de interés social y los órganos públ icos) con la asistencia de otros directivos, siguiendo, en general, la orientación impartida por el consejo de dirección u otro órgano directivo, ante quien son responsables de los resultados obtenidos y de las actividades realizadas. Nota: Los directores generales y presidentes ejecutivos y los demás altos direct ivos que coordinan y supervisan las actividades de los directores subordinados responsa- bles de una variada gama de tareas funcionales deben incluirse en el grupo primario 1120, Directores generales y presidentes ejecutivos. Los direct ores responsables de funciones especializadas en una zona geo gráfica concreta están excluidos de este grupo primario. Por ejemplo, los directores regionales de ven tas están clasificados en el grupo primario 1221, Directores comerciales y de ventas. Los puestos de trabajo cuya principal función es participar en el consejo de di rección de una o más e mpresas u organizaciones están. Typical tasks: planificar, orientar y coordinar el funcionamiento general de la empresa u organi- zación; examinar las actividades y resultados de la empresa u organización y com unicar esta información al consejo de dirección o a los órganos directivos; establecer objetivos, estrategias, políticas y programas para la empresa u organi- zación; asumir el liderazgo general y la gestión de la empresa u organización; establecer y gestionar presupuestos, controlar los gastos y asegurar la util ización eficiente de los recursos; autorizar los recursos materiales, humanos y financieros para la ejecución de las políticas y programas de la organización; supervisar y evaluar el funcionamiento de la organización o empresa a tenor de los objetivos y políticas establecidos; consultar con el personal de alto nivel subordinado y examinar sus rec omendacio- nes e informes; representar a la organización en actos oficiales y reuniones de órganos directivos, en negociaciones y en convenciones, seminarios, audiencias públicas y foros; seleccionar al personal de alto nivel o aprobar su selección; velar por que la organización cumpla las leyes y reglamentos en vigor. Examples included: Directores generales, empresa privada; Directores generales, empresa pública; Presidentes ejecutivos; Rectores de universidades; 7"
1211,Directores financieros,"CNO occupation: 1211 Directores financieros. Definition: Los directores financieros planifican, dirigen y coordinan las operaciones finan cieras de una empresa u organización en consulta con el consejo de dirección y con los di- rectores de otros departamentos o de otras empresas que presten ser vicios financie- ros a esta empresa u organización. Typical tasks: planificar, dirigir y coordinar las operaciones financieras de la empresa u organiza- ción; evaluar la situación financiera de la empresa u organización, preparar los pres u- puestos y controlar las operaciones financieras; consultar con el gerente general y con los directores de otros departamentos; establecer y gestionar presupuestos, controlar los gastos y asegurar la util ización eficiente de los recursos; establecer y dirigir los procedimientos operativos y administrativos; planificar y dirigir el trabajo diario; controlar la selección, formación y rendimiento del personal; representar a la empresa u organización en las relaciones con entidades externas. Examples included: Directores financieros; Directores de departamentos de contabilidad; Directores de departamentos de costes; Directores de departamentos de presupuestos Related or excluded occupations: Gerentes de sucursales de servicios financieros, 1327; Especialistas en contabilidad, 2611"
1212,Directores de recursos humanos,"CNO occupation: 1212 Directores de recursos humanos. Definition: Los directores de recursos humanos planifican, dirigen y coordinan políticas r elativas al personal, a las relaciones laborales y a las actividades de salud y seg uridad en el trabajo de una empresa u organización, o de empresas que pres ten servicios de re- cursos humanos a otras empresas u organizaciones. Typical tasks: planificar, dirigir y coordinar las actividades, políticas y prácticas de una empresa u organización en todo lo relativo al personal y a las relaciones laborales; planificar y organizar los procedimientos destinados a la contratación, fo rmación, promoción, traslados y despidos del personal; planificar y organizar las negociaciones sobre fijación de la escala y los niv eles salariales y sobre la consulta a los trabajadores sobre las condiciones de empleo; controlar los programas y actividades de salud y seguridad y otras cuesti ones co- nexas; 8 establecer y gestionar presupuestos, controlar los gastos y asegurar la util ización eficiente de los recursos; establecer y dirigir los procedimientos operativos y administrativos; controlar la elaboración y aplicación de sistemas de información de gestión; velar por el cumplimiento de las normas y de la legislación sobre los der echos de los trabajadores, la salud y seguridad, la igualdad de oportunidades y cuestiones conexas; controlar la selección, formación y rendimiento del personal de toda la empr esa u organización; consultar con la alta dirección y con los directores de otros departamentos; representar a la empresa u organización. Examples included: Directores de departamentos de recursos humanos; Directores de departamentos de relaciones laborales; Directores de selección de personal; Directores de contratación; Directores de formación de personal"
1219,Directores de políticas y planificación y de otros departamentos administrat ivos no clasificados bajo otros epígrafes,"CNO occupation: 1219 Directores de políticas y planificación y de otros departamentos administrat ivos no clasificados bajo otros epígrafes. Definition: En este grupo primario se incluyen los directores de políticas y planificación los cuales planifican, organizan, dirigen y coordinan actividades de planificación e stratégica y de asesoramiento sobre políticas dentro de la administración públ ica o para organizacio- nes no gubernamentales o entidades del sector privado, o gestionan las actividades de empresas que prestan servicios de planificación estratégica y de asesoramiento sobre políticas. También se incluyen los directores de departamentos administrativos y de servicios no clasificados bajo otros epí grafes del subgrupo 121, Directores de departamentos administrativos. Se incl uyen, por ejemplo, ocupaciones como las de director de servicios administrat ivos, director de instalaci ones o director de servicios de limpieza ya sean directores de departamentos de grandes empresas u organiza- ciones o directores de em presas que proveen dichos servicios a otras empresas u organizaciones. Typical tasks: elaborar, aplicar y supervisar planes, programas, políticas, procesos, sist emas y procedimientos estratégicos para alcanzar fines u objetivos o cumplir no rmas de trabajo; elaborar, dirigir y administrar estudios y análisis de políticas y participar en ellos; coordinar la aplicación de políticas y prácticas; establecer medidas de la actividad y mediciones de la responsabilidad; planificar y dirigir el trabajo diario; dirigir y gestionar las actividades del personal de elaboración de políticas y de planificación estratégica; controlar la selección, formación y rendimiento del personal; representar a la empresa u organización en negociaciones y en convenci ones, seminarios, audiencias públicas y foros; realizar tareas de asistencia, estudio y asesoramiento en los ámbitos adm inistrati- vo, operativo y de planificación estratégica a la alta dirección sobre cuestiones 9 como la gestión de las instalaciones de la empresa y de los serv icios administrati- vos; desarrollar y gestionar los recursos administrativos y físicos de la organización; elaborar y aplicar declaraciones y directrices en materias administrativas y de pro- cedimiento para uso por el personal de la organización. Examples included: Directores de planificación corporativa; Directores de instalaciones; Directores de departamentos de control de calidad; Directores de servicios de limpieza; Subdirectores de la Administración Pública n.c.o.p.; investigación y desarrollo"
