occ_code,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
11-1011,0.23,0.26,0.18,0.14,0.08,0.04,0.04,0.02,0.01,0.0
11-1021,0.12,0.22,0.22,0.23,0.12,0.05,0.03,0.01,0.0,0.0
11-1031,0.31,0.23,0.17,0.13,0.06,0.03,0.04,0.02,0.01,0.0
11-2011,0.06,0.08,0.17,0.26,0.17,0.11,0.1,0.04,0.01,0.0
11-2021,0.08,0.11,0.18,0.25,0.17,0.09,0.08,0.03,0.01,0.0
11-2022,0.11,0.16,0.24000000000000002,0.22,0.13,0.07,0.05,0.02,0.0,0.0
11-2032,0.06,0.08,0.17,0.25,0.18,0.12,0.09,0.04,0.01,0.0
11-3012,0.11,0.16,0.22,0.22,0.12,0.07,0.06,0.03,0.01,0.0
11-3013,0.17,0.31,0.26,0.18,0.06,0.01,0.01,0.0,0.0,0.0
11-3021,0.07,0.11,0.15,0.19999999999999998,0.16,0.12,0.13,0.05,0.01,0.0
11-3031,0.1,0.11,0.16,0.22,0.15,0.1,0.1,0.05,0.01,0.0
11-3051,0.22,0.3,0.24,0.15,0.06,0.02,0.01,0.0,0.0,0.0
11-3061,0.11,0.16,0.22,0.22,0.13,0.07,0.06,0.02,0.01,0.0
11-3071,0.12,0.19,0.24,0.25,0.11,0.05,0.03,0.01,0.0,0.0
11-3111,0.1111111111111111,0.1111111111111111,0.1717171717171717,0.20202020202020202,0.1414141414141414,0.10101010101010101,0.10101010101010101,0.050505050505050504,0.0101010101010101,0.0
11-3121,0.07,0.11,0.2,0.26,0.17,0.09,0.07,0.02,0.01,0.0
11-3131,0.07,0.09,0.18,0.27,0.17,0.1,0.08,0.03,0.01,0.0
11-9013,0.32,0.43,0.18,0.06,0.01,0.0,0.0,0.0,0.0,0.0
11-9021,0.18,0.31,0.26,0.16,0.06,0.02,0.01,0.0,0.0,0.0
11-9031,0.23,0.27,0.23,0.15,0.06,0.03,0.02,0.01,0.0,0.0
11-9032,0.14,0.21,0.26,0.21,0.1,0.04,0.03,0.01,0.0,0.0
11-9033,0.14,0.18,0.21,0.23,0.12,0.06,0.04,0.02,0.0,0.0
11-9041,0.16,0.25,0.26,0.18,0.08,0.03,0.03,0.01,0.0,0.0
11-9051,0.24,0.26,0.21,0.16,0.07,0.03,0.02,0.01,0.0,0.0
11-9071,0.48,0.23,0.13,0.09,0.03,0.01,0.02,0.01,0.0,0.0
11-9081,0.19,0.25,0.25,0.18,0.08,0.03,0.01,0.01,0.0,0.0
11-9111,0.13,0.21,0.23,0.22,0.11,0.05,0.04,0.01,0.0,0.0
11-9121,0.16,0.21,0.23,0.2,0.1,0.05,0.04,0.01,0.0,0.0
11-9131,0.37,0.31,0.18,0.09,0.03,0.01,0.01,0.0,0.0,0.0
11-9141,0.11,0.17,0.24,0.24,0.13,0.06,0.04,0.01,0.0,0.0
11-9151,0.11,0.19,0.27,0.23,0.11,0.05,0.03,0.01,0.0,0.0
11-9161,0.2,0.23,0.22,0.18,0.09,0.04,0.03,0.01,0.0,0.0
11-9171,0.32,0.31,0.19,0.1,0.04,0.02,0.01,0.01,0.0,0.0
11-9179,0.43,0.21,0.15,0.11,0.05,0.02,0.02,0.01,0.0,0.0
11-9199,0.13,0.12,0.17,0.25,0.16,0.08,0.06,0.02,0.01,0.0
13-1011,0.17,0.18,0.19999999999999998,0.19,0.11,0.06,0.05,0.03,0.01,0.0
13-1031,0.16,0.15,0.18,0.2,0.12,0.07,0.07,0.04,0.01,0.0
13-1032,0.37,0.27,0.17,0.1,0.04,0.02,0.02,0.01,0.0,0.0
13-1041,0.14,0.13,0.19,0.22,0.14,0.08,0.06,0.03,0.01,0.0
