period,cno4,dimension,category,gender,contratos,parados,personas,source_url
2022-09,2220,gender,Hombre,Hombre,1958,872,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,gender,Mujer,Mujer,2309,1295,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,age,<18,Total,3,1,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,age,18-24,Total,204,29,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,age,25-29,Total,862,184,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,age,30-39,Total,1506,347,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,age,40-44,Total,592,253,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,age,>44,Total,1100,1353,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Araba/Álava,Total,61,61,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Albacete,Total,36,15,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Alicante/Alacant,Total,111,79,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Almería,Total,57,20,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Ávila,Total,0,10,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Badajoz,Total,31,14,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,"Balears, Illes",Total,88,24,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Barcelona,Total,468,159,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Burgos,Total,19,21,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Cáceres,Total,6,12,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Cádiz,Total,86,59,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Castellón/Castelló,Total,35,17,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Ciudad Real,Total,8,21,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Córdoba,Total,146,36,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,"Coruña, A",Total,55,85,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Cuenca,Total,1,2,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Girona,Total,31,17,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Granada,Total,141,46,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Guadalajara,Total,4,19,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Gipuzkoa,Total,127,119,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Huelva,Total,35,9,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Huesca,Total,8,14,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Jaén,Total,35,28,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,León,Total,17,36,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Lleida,Total,16,11,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,"Rioja, La",Total,17,12,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Lugo,Total,5,33,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Madrid,Total,655,241,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Málaga,Total,112,44,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Murcia,Total,145,58,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Navarra,Total,527,42,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Ourense,Total,10,18,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Asturias,Total,52,42,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
