cno4,total_meses,meses_parados_0,porcentaje_meses_parados_0
6430,63,2,3.17
11,63,0,0.0
12,63,0,0.0
20,63,0,0.0
1111,63,0,0.0
1112,63,0,0.0
1113,63,0,0.0
1120,63,0,0.0
1211,63,0,0.0
1212,63,0,0.0
1219,63,0,0.0
1221,63,0,0.0
1222,63,0,0.0
1223,63,0,0.0
1311,63,0,0.0
1312,63,0,0.0
1313,63,0,0.0
1314,63,0,0.0
1315,63,0,0.0
1316,63,0,0.0
1321,63,0,0.0
1322,63,0,0.0
1323,63,0,0.0
1324,63,0,0.0
1325,63,0,0.0
1326,63,0,0.0
1327,63,0,0.0
1329,63,0,0.0
1411,63,0,0.0
1419,63,0,0.0
1421,63,0,0.0
1422,63,0,0.0
1429,63,0,0.0
1431,63,0,0.0
1432,63,0,0.0
1501,63,0,0.0
1509,63,0,0.0
2111,63,0,0.0
2112,63,0,0.0
2121,63,0,0.0
2122,63,0,0.0
2123,63,0,0.0
2130,63,0,0.0
2140,63,0,0.0
2151,63,0,0.0
2152,63,0,0.0
2153,63,0,0.0
2154,63,0,0.0
2155,63,0,0.0
2156,63,0,0.0
2157,63,0,0.0
2158,63,0,0.0
2159,63,0,0.0
2210,63,0,0.0
2220,63,0,0.0
2230,63,0,0.0
2240,63,0,0.0
2251,63,0,0.0
2252,63,0,0.0
2311,63,0,0.0
2312,63,0,0.0
2321,63,0,0.0
2322,63,0,0.0
2323,63,0,0.0
2324,63,0,0.0
2325,63,0,0.0
2326,63,0,0.0
2329,63,0,0.0
2411,63,0,0.0
2412,63,0,0.0
2413,63,0,0.0
2414,63,0,0.0
2415,63,0,0.0
2416,63,0,0.0
2421,63,0,0.0
2422,63,0,0.0
2423,63,0,0.0
2424,63,0,0.0
2425,63,0,0.0
2426,63,0,0.0
2427,63,0,0.0
2431,63,0,0.0
2432,63,0,0.0
2433,63,0,0.0
2434,63,0,0.0
2435,63,0,0.0
2436,63,0,0.0
2437,63,0,0.0
2439,63,0,0.0
2441,63,0,0.0
2442,63,0,0.0
2443,63,0,0.0
2451,63,0,0.0
2452,63,0,0.0
2453,63,0,0.0
2454,63,0,0.0
2461,63,0,0.0
2462,63,0,0.0
2463,63,0,0.0
2464,63,0,0.0
2465,63,0,0.0
2466,63,0,0.0
2469,63,0,0.0
2471,63,0,0.0
2472,63,0,0.0
2473,63,0,0.0
2481,63,0,0.0
2482,63,0,0.0
2483,63,0,0.0
2484,63,0,0.0
2511,63,0,0.0
2512,63,0,0.0
2513,63,0,0.0
2591,63,0,0.0
2592,63,0,0.0
2599,63,0,0.0
2611,63,0,0.0
2612,63,0,0.0
2613,63,0,0.0
2621,63,0,0.0
2622,63,0,0.0
2623,63,0,0.0
2624,63,0,0.0
2625,63,0,0.0
2630,63,0,0.0
2640,63,0,0.0
2651,63,0,0.0
2652,63,0,0.0
